Ah,SOC,V,A,Wh,time
0.000389,100.00%,3.279074,-140.061,-0.001277,0
0.389082,99.85%,2.894619,-140.0627,-1.139995,10
0.778164,99.71%,2.87336,-140.068,-2.26155,20
1.167246,99.56%,2.861878,-140.0758,-3.377111,30
1.556331,99.41%,2.854311,-140.068,-4.489062,40
1.945417,99.27%,2.848783,-140.0783,-5.598505,50
2.334505,99.12%,2.844604,-140.0694,-6.706083,60
2.723592,98.98%,2.841365,-140.0724,-7.812223,70
3.112679,98.83%,2.838796,-140.0733,-8.917239,80
3.501766,98.68%,2.836785,-140.0664,-10.02137,90
3.890854,98.54%,2.835207,-140.0692,-11.1248,100
4.279942,98.39%,2.833994,-140.0618,-12.2277,110
4.66903,98.24%,2.833043,-140.0746,-13.33017,120
5.058122,98.10%,2.832425,-140.0685,-14.43236,130
5.447213,97.95%,2.831995,-140.0618,-15.53434,140
5.836305,97.80%,2.831846,-140.0673,-16.63621,150
6.225397,97.66%,2.831846,-140.0646,-17.73805,160
6.614487,97.51%,2.832018,-140.06,-18.83992,170
7.00358,97.37%,2.832374,-140.0731,-19.9419,180
7.39267,97.22%,2.832842,-140.0786,-21.04403,190
7.78176,97.07%,2.833434,-140.0696,-22.14638,200
8.170852,96.93%,2.83416,-140.068,-23.24898,210
8.559945,96.78%,2.834984,-140.0781,-24.35189,220
8.949039,96.63%,2.835894,-140.074,-25.45514,230
9.338133,96.49%,2.836893,-140.0751,-26.55876,240
9.727225,96.34%,2.837975,-140.0744,-27.66278,250
10.11632,96.19%,2.839137,-140.0744,-28.76725,260
10.50541,96.05%,2.840349,-140.0756,-29.87217,270
10.89451,95.90%,2.841606,-140.0721,-30.97758,280
11.2836,95.76%,2.842921,-140.0685,-32.08348,290
11.6727,95.61%,2.84428,-140.0715,-33.18991,300
12.06179,95.46%,2.845696,-140.0701,-34.29688,310
12.45088,95.32%,2.847106,-140.0717,-35.4044,320
12.83998,95.17%,2.84856,-140.0705,-36.51248,330
13.22907,95.02%,2.850056,-140.0731,-37.62113,340
13.61816,94.88%,2.851554,-140.0781,-38.73036,350
14.00726,94.73%,2.853089,-140.0721,-39.84018,360
14.39635,94.58%,2.8546,-140.0758,-40.95059,370
14.78544,94.44%,2.856137,-140.0797,-42.0616,380
15.17454,94.29%,2.857719,-140.0657,-43.17321,390
15.56363,94.14%,2.859281,-140.068,-44.28543,400
15.95272,94.00%,2.860847,-140.065,-45.39827,410
16.34181,93.85%,2.862435,-140.077,-46.51171,420
16.7309,93.71%,2.864029,-140.0673,-47.62577,430
17.11999,93.56%,2.865598,-140.0731,-48.74044,440
17.50908,93.41%,2.867206,-140.0735,-49.85573,450
17.89817,93.27%,2.868781,-140.0676,-50.97164,460
18.28727,93.12%,2.870347,-140.0721,-52.08816,470
18.67636,92.97%,2.871925,-140.0648,-53.2053,480
19.06545,92.83%,2.873497,-140.0673,-54.32305,490
19.45454,92.68%,2.875041,-140.0685,-55.4414,500
19.84363,92.53%,2.87659,-140.0664,-56.56036,510
20.23272,92.39%,2.878137,-140.0786,-57.67991,520
20.62181,92.24%,2.879677,-140.0783,-58.80006,530
21.0109,92.10%,2.881179,-140.0832,-59.92081,540
21.39999,91.95%,2.882694,-140.0792,-61.04214,550
21.78908,91.80%,2.8842,-140.0724,-62.16407,560
22.17817,91.66%,2.88566,-140.0758,-63.28656,570
22.56726,91.51%,2.887146,-140.0692,-64.40965,580
22.95636,91.36%,2.88861,-140.0659,-65.53329,590
23.34545,91.22%,2.890046,-140.074,-66.6575,600
23.73454,91.07%,2.891481,-140.0832,-67.78227,610
24.12363,90.92%,2.892897,-140.0735,-68.90759,620
24.51272,90.78%,2.89432,-140.0609,-70.03346,630
24.90181,90.63%,2.895656,-140.0708,-71.15987,640
25.2909,90.49%,2.897034,-140.0793,-72.28683,650
25.67999,90.34%,2.898422,-140.0721,-73.41431,660
26.06908,90.19%,2.899755,-140.0811,-74.54231,670
26.45818,90.05%,2.901104,-140.0758,-75.67085,680
26.84727,89.90%,2.902416,-140.0682,-76.79991,690
27.23636,89.75%,2.903705,-140.0802,-77.92948,700
27.62546,89.61%,2.904984,-140.0722,-79.05955,710
28.01455,89.46%,2.906244,-140.0634,-80.19011,720
28.40365,89.31%,2.907482,-140.0781,-81.32116,730
28.79275,89.17%,2.908742,-140.0705,-82.4527,740
29.18184,89.02%,2.909961,-140.0714,-83.58472,750
29.57094,88.88%,2.911174,-140.0671,-84.7172,760
29.96003,88.73%,2.912351,-140.0726,-85.85014,770
30.34912,88.58%,2.913532,-140.0781,-86.98354,780
30.73821,88.44%,2.91468,-140.0781,-88.1174,790
31.12731,88.29%,2.915817,-140.0815,-89.25171,800
31.51641,88.14%,2.916931,-140.0671,-90.38646,810
31.9055,88.00%,2.918092,-140.0722,-91.52165,820
32.29459,87.85%,2.919183,-140.071,-92.65727,830
